,Laptops Models,Os,Processor,Storage Capacity,Price,Image
0,"1.
MSI Titan GT77-12UHS",Windows 11 Home,12th Gen Intel Core i7-12700H | 3.5 GHz Processor,2 TB SSD/64 GB DDR5 Memory,"AVAILABLE ₹ 229,990
BUY NOW",
1,"2.
Alienware X17 R2",Windows 11 Home,12th Gen Intel Core i9-12900HX | NA Processor,1 TB SSD/32 GB DDR5 Memory,"AVAILABLE ₹ 176,290
BUY NOW",
2,"3.
Acer Predator Triton 500 SE PT516-52s",Windows 11 Home,12th Gen Intel Core i7-12700H | 3.5 GHz Processor,2 TB SSD/64 GB DDR5 Memory,"AVAILABLE ₹ 124,990
BUY NOW",
3,"4.
Omen By HP (16-B1371TX)",Windows 11 Home,12th Gen Intel Core i7-12700H | 4.7 GHz Processor,512 GB SSD/16 GB DDR4 Memory,,
4,"5.
Acer Predator Helios 300 AN515-45",Windows 11 Home,AMD Ryzen 9-5900HX | NA Processor,1 TB SSD/32 GB DDR5 Memory,,
5,"6.
MSI Delta 15 (A5EFK-083IN)",Windows 11 Home,AMD 5th Gen Ryzen 9-5900HX | 3.3GHz Processor,1 TB SSD/32 GB DDR5 Memory,"AVAILABLE ₹ 162,869
BUY NOW",
6,"7.
Omen By HP (16-C0141AX)",Windows 11 Home,AMD Ryzen™ 9 5900HX | 3.3 GHz Processor,1 TB SSD/32 GB DDR5 Memory,"AVAILABLE ₹ 174,000
BUY NOW",
7,"8.
Lenovo Legion 5i Pro (82RF00MGIN)",Windows 11 Home,12th Gen Intel Core i7-12700H | 2.3 GHz Processor,1 TB SSD/32 GB DDR5 Memory,"AVAILABLE ₹ 131,990
BUY NOW",
8,"9.
Alienware M15 R5 Ryzen Edition Icc-C780001win",Windows 11 Home,AMD Ryzen R7-5800H | 4.40 GHz Processor,512 GB SSD/16 GB DDR4 Memory,,
9,"10.
Lenovo Slim 7 Gen 6 (82K8002JIN)",Windows 11 Home,Lenovo Ryzen 7-5800H | 3.2 GHz Processor,1 TB SSD/32 GB DDR5 Memory,-,
